Type,Anomaly Count
Missed Recycling Collection Deficiency,1851
Missed Yard Waste Collection Deficiency,1033
Misc. Concern/Inquiry,829
"TR Employees,Schedules,Routes,SchoolService Report",774
Request for Bulky Pick Up - 10 Items,758
Water Information Request,748
Turn On Water - Repairs Complete,694
Snow Removal- Snow Plow Damage,650
Pothole May 16 Priority 3 Reg,645
Request for Bulky Pick Up Manual Collection,640
Carts Damaged By Collection Crews,632
Discoloured Water,622
Quality of Service,605
Turn Off Water - Repairs Emergency,538
Remove Object from Right of Way,507
Missed Garbage Collection Deficiency,467
Housing Complaint - Yard and Accessory Buildings,456
Dog Barking Complaint,396
Tree - Dangerous or Split - Hazardous After,389
Tree - Dangerous or Split - Hazardous,380
TR Employees Complaints/Commendations,372
Water Clean Up After Repairs,353
Alarm Permit Inquiries,351
Paved Road Repairs NonHazard Priority 3,311
Frozen Catch Basin Priority 3 Reg,294
Tree - Dutch Elm Disease Tree Inspection Req,293
Miscellaneous Concerns,290
Turn Off Water - Repairs NonEmergency,290
Snow Removal Street Priority 3 Reg,289
Check for Water Leak - Trickling,286
Pothole May 16 Priority 2 Reg,283
Forestry Pruning - Risk of Injury,272
Tree - Sick or Dead,262
Lane Concern Gravel Lanes,260
TR Peggo Loading Card Error,258
Snow Removal Back Lanes,249
Pothole P3_vof,225
Street Sign Install Remove,222
Check for Water Leak - Gushing,212
Sidewalk Repairs Hazardous Regular Hours,208
Lane Concern Paved Back Lanes,206
Abandoned Pick Up Request - Regular Bulky,202
Parking Escalated/Admin Inquiries,201
Transit Employees Concerns/Commendations,193
Pothole Nov 1 Priority 1 Reg,192
Forestry Brush Pick Up - Pruning or Storm Damage,192
Dog or Cat Running at Large,191
Found Licensed Dog,189
Forestry Request for Information SR,187
TR Bus Stop Area/Bus Stop,185
Pothole Apr 1 Priority 3 Reg,183
"TR Schedules,Routes,SchoolService Report",176
Abandoned/Derelict Vehicle Report,173
Pothole May 16 Priority 1 Reg,169
Request for New Service - Carts for New Builds,161
Sidewalk Repairs NonHazard Priority 3,160
Housing Complaint - Interior of Building,160
Catch Basin Plugged - Front Street,159
Pet License Information Update/Change,156
Missed Garbage Collection Same Day Miss,156
Dog/Cat/Other Pet Running at Large,155
No Water,149
Pothole Nov 1 Priority 3 Reg,149
Preview Program Inquiries,145
Poor Pressure,144
Animal Services Licenses Updates/Requests,142
Manhole Cover Ajar or Off,142
Gravel Road Maintenance,140
Sewer Back Up - Raw Sewage,137
Service Box - Damaged,133
Service Box - Adjust Height,133
Park Maint - Litter in the Park,132
Debris In Street Priority 3 Reg,131
Signs Fix Replace Missing,131
Credit Balance Inquiry,131
Traffic Signal Malfunction,130
Operator Standards - Recycling,129
Neighborhood Liveability Complaint,125
Graffiti - Private Property,125
DED Removal Esc Inquiry,123
Transit Lost Property Report,122
Solid Waste General Concern,120
Litter Container Concern,120
TR Peggo Technical Error,119
Barricades/Signs Abandoned,118
Request for a Garbage/Recycling Calendar,117
Escalated Adoption Info,115
Discoloured Water Request for Reimbursement,113
Catch Basin Damaged - Front Street,113
Curb Repair Priority 3,111
Pothole Apr 1 Priority 2 Reg,111
TR Information Mail Out Request,111
Roll Out Cart Repair/Replacement - Garbage,111
Housing Complaint - Exterior of Building,111
Catch Basin Frozen - Front Street,109
Breached Missed Collection Yard Waste Deficiency,108
Frozen Catch Basin Priority 3 After,106
Breached Missed Collection Garbage Deficiency,104
Property Damage Claim,102
Breached Missed Collection Recycling Deficiency,102
Program Reg-Program Information Inquiry,100
Commendation/Thank You,100
Snow Removal Front Approach Reg Hours,100
Sewer Information Request,99
Water Meter Leaking - Emergency,99
Graffiti- City Facilities,99
Pothole Nov 1 Priority 2 Reg,97
Sewer Back Up - Clean Water,97
Roll Out Cart Repair/Replacement - Recycling,96
Request for Bulk Pick Up- Autobin,94
Pick Up Stray Dog,93
Request Garbage & Recycling Carts for New Builds,92
Water Staff Commendation/Complaint,91
Missed Bulky Waste Collection Deficiency,91
Claim Status Request,90
Debris In Street Priority 3 After,90
Housing Complaint - Miscellaneous Concerns,88
Assessed Value Complaint - Property,87
Traffic Light Timing Concern,86
House Vibrations Concern,86
Water Meter Leaking - Non Emergency,85
PW_StreetsMiscPolicyConcerns,85
Forestry Tree - Fallen - Hazardous After,83
Turn On Water - Payment Made,83
Requesting a Copy or Figures from the Property Tax,82
Tree Planting,81
Manhole Damaged - Front Street,81
Pothole Apr 1 Priority 1 Reg,80
Operator Standards - Garbage,80
Dog or Cat Biting Complaint,80
Pothole P2_vof,79
Stop Sign Down After Hours,78
Boulevard Tree Pruning - Risk of Injury,77
Aquatics-Group Pool Reservations-9 or More,77
Paved Road Repairs NonHazard Priority 2,77
Parks Complaints/Commendations,76
Parks Request for Information SR,76
Hazardous Road Conditions Priority 1 After,76
Street Maintenance Miscellaneous Concern/Inquiry,76
Carts Damaged By Collection Crews GARBAGE 240L,75
Req New Traffic Signals/Lights,73
Autobin Concerns- Full or Overflowing,72
Debris In Street Priority 1 Reg,70
Claim Service Request,68
Paved Road Repairs Hazardous Reg,68
Graffiti- Business Property,67
Sick or Dead Tree Report,66
Damage or Theft by Collection Crews - Recycling,66
Request for New Service Roll Out Carts - Garbage,66
Pothole Repair Request in Summer P2,65
Spring Street Sweeping Report Priority 3,65
Watermain Cleaning Inquiries and Concerns,65
Snow Removal Sidewalks Priority 3 Reg,64
Inspections - Work Without Permit,64
Water Excavation - Dangerous,64
Hazardous Road Conditions Priority 3 After,64
Paved Road Repairs NonHazard Priority 1,63
Program Reg - Group Pool Bookings - 9 or More,63
