anomaly_count
Request Type,Count of anomalous case duration,Total Requests
Missed Recycling Collection Deficiency,914,121064
Misc. Concern/Inquiry,828,34148
"TR Employees,Schedules,Routes,SchoolService Report",776,66049
Request for Bulky Pick Up - 10 Items,760,145011
Water Information Request,748,34163
Turn On Water - Repairs Complete,695,36385
Snow Removal- Snow Plow Damage,650,21993
Pothole May 16 Priority 3 Reg,643,27160
Request for Bulky Pick Up Manual Collection,640,26488
Carts Damaged By Collection Crews,634,126811
Discoloured Water,589,28745
Turn Off Water - Repairs Emergency,538,28864
Remove Object from Right of Way,507,52366
Missed Yard Waste Collection Deficiency,471,50987
Missed Garbage Collection Deficiency,466,150954
Housing Complaint - Yard and Accessory Buildings,455,120822
Tree - Dangerous or Split - Hazardous After,390,15434
Tree - Dangerous or Split - Hazardous,380,18127
TR Employees Complaints/Commendations,361,20130
Water Clean Up After Repairs,353,11061
Quality of Service,347,22464
Paved Road Repairs NonHazard Priority 3,311,12196
Frozen Catch Basin Priority 3 Reg,295,18452
Tree - Dutch Elm Disease Tree Inspection Req,293,9390
Turn Off Water - Repairs NonEmergency,290,34575
Miscellaneous Concerns,290,58654
Snow Removal Street Priority 3 Reg,289,18019
Check for Water Leak - Trickling,286,24626
Pothole May 16 Priority 2 Reg,283,13559
Dog Barking Complaint,278,22731
Forestry Pruning - Risk of Injury,272,12641
Tree - Sick or Dead,262,14120
Lane Concern Gravel Lanes,260,9336
Snow Removal Back Lanes,249,18559
Pothole P3_vof,225,7496
Street Sign Install Remove,222,11823
Check for Water Leak - Gushing,212,19113
Sidewalk Repairs Hazardous Regular Hours,208,7636
Lane Concern Paved Back Lanes,206,9171
Parking Escalated/Admin Inquiries,201,24102
TR Peggo Loading Card Error,197,13824
Transit Employees Concerns/Commendations,193,5681
Pothole Nov 1 Priority 1 Reg,192,9620
Forestry Brush Pick Up - Pruning or Storm Damage,192,15912
Found Licensed Dog,189,11789
Forestry Request for Information SR,187,7626
TR Bus Stop Area/Bus Stop,185,20620
Pothole Apr 1 Priority 3 Reg,183,9531
Abandoned Pick Up Request - Regular Bulky,183,30146
